5:52:37 PM  [main] 	Initializing Control Panel
5:52:37 PM  [main] 	Windows Version:  Home  64-bit
5:52:37 PM  [main] 	XAMPP Version: 8.2.4
5:52:37 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
5:52:37 PM  [main] 	You are not running with administrator rights! This will work for
5:52:37 PM  [main] 	most application stuff but whenever you do something with services
5:52:37 PM  [main] 	there will be a security dialogue or things will break! So think 
5:52:37 PM  [main] 	about running this application with administrator rights!
5:52:37 PM  [main] 	XAMPP Installation Directory: "c:\xampp\"
5:52:37 PM  [main] 	Checking for prerequisites
5:52:37 PM  [main] 	All prerequisites found
5:52:37 PM  [main] 	Initializing Modules
5:52:37 PM  [main] 	Starting Check-Timer
5:52:37 PM  [main] 	Control Panel Ready
6:04:00 PM  [main] 	Deinitializing Modules
6:04:00 PM  [main] 	Deinitializing Control Panel

